ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Grape and Fruit Brandy,Cognac,FRANCE,888586,BARON OTARD - X.O.,3253781250028,0.7,1,40,149.97,NA
Wine,France Wine,France Red Wine,FRANCE,949453,CHATEAU MOUTON ROTHSCHILD 2013,,0.75,1,13,750,0
General Merchandise,De-Alcoholized Product,Wine De-Alcoholized Product,AUSTRALIA,19083,LOXTON - CABERNET SAUVIGNON,63448100084,0.75,1,0.5,7.19,0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,CANADA,88846,BASK - CRISP ROSE WINE SPRITZ CAN,63657042922,0.355,4,5,11.99,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,105674,MACALLAN - CLASSIC CUT 2019 RELEASE,812066023202,0.75,1,52.9,149.99,NA
Spirits,Vodka,Straight Vodka,POLAND,132960,LUKSUSOWA - VODKA,5900191016451,1.75,1,40,59.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,155051,VENETO APPASSIMENTO - MASI CAMPOFIORIN VEGAN,8002062000068,0.75,1,13.5,23.99,0
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,168498,SAUVIGNON BLANC - LEFT FIELD NELSON 2019,9414416104220,0.75,1,13,16.49,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,171488,GEHRINGER - RIESLING 2020,623871010062,0.75,1,13,17.99,1
Wine,France Wine,France Red Wine,FRANCE,196910,PAUILLAC - CHATEAU DUHART MILON 2017,626990465478,0.75,1,13,160,NA
Wine,France Wine,France Red Wine,FRANCE,211579,SAVIGNY LES BEAUNE - ALBERT BICHOT 2020,87113114909,0.75,1,13,67.99,0
Wine,France Wine,France Red Wine,FRANCE,390810,MARGAUX - CHATEAU LASCOMBES 2019,3410251190042,0.75,1,14.5,190,NA
Wine,France Wine,France Champagne Wine,FRANCE,403170,LOUIS ROEDERER - ROSE BRUT 2016,734599034053,0.75,1,12,128.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,413995,PINOT NOIR - DUMOL WESTER REACH 2020,814460010499,0.75,1,13.8,139.99,0
Wine,France Wine,France Red Wine,FRANCE,452560,CHINON - BEATRICE ET PASCAL LAMBERT TERRASSES,3760032710748,0.75,1,13,32.99,0
Spirits,Whisky,Irish Whiskey,IRELAND,530905,MIDLETON - BLUE SPOT,80432116432,0.75,1,58.9,159.99,NA
Spirits,Liqueurs,Whiskey Liqueurs,UNITED STATES OF AMERICA,630707,JACK DANIEL'S - TENNESSEE FIRE,82184001172,0.75,1,35,35.49,NA
